FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Employee ID,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost,IsActive,AgeAtStart
Alisa,James,2020-02-19,,Area Sales Manager,Dennis Henderson,alisa.james@bilearner.com,SVG,Active,Full-Time,Zone A,Full-Time,N/A - Active,N/A - Active,Sales,Aerial,1944-10-02,TX,Lineman,Male,74682,Asian,Married,Fully Meets,3,3460,2022-11-16,4,3,3,2023-07-08,Communication Skills,External,Incomplete,Paulashire,Willie Hernandez,5,919.52,True,75.0
Lincoln,Compton,2019-07-18,2021-10-01,Area Sales Manager,Tammy Conner,lincoln.compton@bilearner.com,EW,Future Start,Full-Time,Zone C,Part-Time,Resignation,Resignation - Standard Separation,Sales,General - Con,1997-12-29,CO,Foreman,Male,78046,Hispanic,Married,Needs Improvement,1,3461,2023-04-24,1,4,4,2023-01-05,Technical Skills,External,Completed,Taylorland,Micheal Munoz,2,948.43,False,21.0
Aliana,Nolan,2018-09-13,2021-09-17,Area Sales Manager,Brianna Mathews,aliana.nolan@bilearner.com,MSC,Active,Contract,Zone A,Full-Time,N/A - Active,N/A - Active,Sales,Field Operations,1942-09-08,CO,Coordinator,Male,27270,Hispanic,Divorced,Needs Improvement,3,3462,2022-08-11,3,3,1,2023-07-19,Project Management,External,Completed,Erinville,Stacey Esparza,1,320.01,False,76.0
Kayden,Dodson,2020-04-30,2021-07-18,Area Sales Manager,Jessica Peters,kayden.dodson@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,N/A - Active,N/A - Active,Sales,Field Operations,1951-06-21,IN,Tower Hand,Male,12703,Hispanic,Single,Fully Meets,1,3463,2022-09-18,4,3,4,2022-08-29,Technical Skills,Internal,Incomplete,Harperchester,Heather Edwards,4,926.19,False,68.0
James,Duke,2018-12-03,2022-09-09,Area Sales Manager,Mark Harris,james.duke@bilearner.com,PYZ,Active,Contract,Zone B,Full-Time,N/A - Active,N/A - Active,Sales,Shop (Fleet),1998-06-17,MA,Mechanic,Male,66835,Black,Widowed,Needs Improvement,5,3464,2022-12-29,2,5,3,2022-11-13,Customer Service,External,Passed,Trevorside,Michaela Wright,2,290.47,False,20.0
Willow,Stuart,2021-11-08,,Area Sales Manager,Elizabeth Tapia,willow.stuart@bilearner.com,WBL,Active,Full-Time,Zone B,Full-Time,N/A - Active,N/A - Active,Sales,General - Con,1962-07-01,MA,Flagger,Male,66150,Asian,Divorced,Needs Improvement,3,3465,2023-05-19,5,4,3,2023-06-04,Communication Skills,External,Incomplete,Port Alexaborough,Trevor Perry,1,706.1,True,59.0
Clayton,Walker,2022-04-13,2023-04-10,Area Sales Manager,Jon Holden,clayton.walker@bilearner.com,PYZ,Active,Part-Time,Zone C,Full-Time,N/A - Active,N/A - Active,IT/IS,Aerial,1979-01-26,KY,Supervisor,Male,64288,Other,Married,Exceeds,4,3466,2023-04-08,1,3,4,2022-12-07,Customer Service,External,Passed,West Angelaside,Erika Jackson,3,447.66,False,43.0
Celia,Curtis,2020-05-06,,Area Sales Manager,Michael Odonnell,celia.curtis@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,N/A - Active,N/A - Active,Sales,Fielders,1987-05-14,KY,Engineer,Female,94333,Asian,Divorced,Exceeds,1,3467,2023-06-27,4,3,2,2023-02-24,Technical Skills,Internal,Incomplete,Mariabury,Regina Robinson,1,759.7,True,32.0
Valentin,Reilly,2019-09-09,,Area Sales Manager,Andres Parker,valentin.reilly@bilearner.com,NEL,Active,Contract,Zone B,Temporary,N/A - Active,N/A - Active,Sales,Wireline Construction,1998-04-26,KY,Foreman,Female,45453,Black,Single,Fully Meets,4,3468,2023-05-02,3,1,3,2023-05-10,Customer Service,Internal,Completed,Patelport,Michael Garcia,3,180.63,True,21.0
Ryland,Shepherd,2020-07-29,2023-01-05,Area Sales Manager,James Berry,ryland.shepherd@bilearner.com,PL,Future Start,Contract,Zone B,Full-Time,Resignation,Resignation - Standard Separation,Sales,Field Operations,1945-02-21,TX,Driver,Female,81905,Asian,Divorced,Needs Improvement,3,3469,2023-01-08,5,5,1,2022-08-15,Communication Skills,Internal,Failed,North Jeanetteville,Lisa Barnes,2,552.54,False,75.0
Esteban,Gilbert,2018-11-14,2019-10-28,Area Sales Manager,Gail Ali,esteban.gilbert@bilearner.com,BPC,Future Start,Contract,Zone C,Part-Time,Retirement,Retirement - Standard Separation,Sales,Field Operations,1997-05-31,TX,Technician,Female,12491,Black,Married,Needs Improvement,3,3470,2023-06-05,1,2,3,2022-09-26,Project Management,External,Passed,New Molly,Katie Wong Md,1,986.96,False,21.0
Jonathan,Adkins,2020-02-29,,Area Sales Manager,John Marshall,jonathan.adkins@bilearner.com,CCDR,Active,Part-Time,Zone C,Temporary,N/A - Active,N/A - Active,Sales,Field Operations,1967-03-01,TX,Foreman,Male,64350,Asian,Married,Fully Meets,4,3471,2023-04-30,2,4,1,2023-03-23,Customer Service,External,Passed,West Jonathan,Frank Joyce,3,109.98,True,52.0
Nevaeh,Soto,2023-01-15,,Area Sales Manager,Jessica Chang,nevaeh.soto@bilearner.com,SVG,Active,Contract,Zone C,Full-Time,N/A - Active,N/A - Active,Sales,Project Management - Con,1982-12-01,TX,Director,Male,74124,Other,Married,Exceeds,4,3472,2023-07-26,5,5,4,2023-02-12,Technical Skills,External,Completed,Port Karatown,Matthew Meyer,5,537.24,True,40.0
Chaim,Mata,2023-06-29,,Area Sales Manager,Desiree Vang,chaim.mata@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,N/A - Active,N/A - Active,Sales,Shop (Fleet),1950-01-10,CO,Manager,Male,33379,Hispanic,Widowed,Exceeds,2,3473,2023-06-28,3,4,4,2022-12-06,Communication Skills,External,Failed,Wagnertown,Frank Harris,5,789.99,True,73.0
Arely,Patton,2020-03-09,,Area Sales Manager,Andrew Goodman,arely.patton@bilearner.com,MSC,Active,Full-Time,Zone A,Temporary,N/A - Active,N/A - Active,Sales,Catv,1965-12-16,CO,Laborer,Male,34481,Other,Divorced,Fully Meets,2,3474,2023-09-05,3,1,2,2022-09-01,Customer Service,External,Incomplete,New Michaelport,Justin Rodriguez,5,155.51,True,54.0
Vance,Trujillo,2021-09-21,2023-04-13,Area Sales Manager,Rebecca Simpson,vance.trujillo@bilearner.com,TNS,Active,Full-Time,Zone C,Temporary,N/A - Active,N/A - Active,Sales,General - Con,1957-12-25,IN,Foreman,Male,90406,Asian,Widowed,Fully Meets,2,3475,2023-01-25,4,3,4,2022-11-02,Customer Service,Internal,Passed,South Taylorfurt,Jenna Sherman,2,648.76,False,63.0
Charlie,Koch,2023-06-12,2023-07-06,Area Sales Manager,Samantha Cardenas,charlie.koch@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,N/A - Active,N/A - Active,Sales,Fielders,1945-06-20,MA,Engineer,Male,95774,Asian,Divorced,Needs Improvement,2,3476,2023-03-03,5,5,3,2022-11-18,Leadership Development,Internal,Incomplete,Stephanieshire,Dr. Margaret Allen,4,533.5,False,77.0
Sonny,Horne,2019-04-07,,Area Sales Manager,Nancy Johnson,sonny.horne@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,N/A - Active,N/A - Active,IT/IS,Aerial,1969-03-12,KY,Laborer,Female,16058,Asian,Widowed,Needs Improvement,2,3477,2022-05-12,1,2,1,2022-11-07,Leadership Development,External,Failed,New Cynthia,Kristin Terry,5,429.48,True,50.0
Thomas,Chandler,2018-09-17,2019-01-09,Area Sales Manager,Richard Hodges,thomas.chandler@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,N/A - Active,N/A - Active,Sales,Wireline Construction,1957-10-10,KY,Groundman,Female,45149,Hispanic,Married,Fully Meets,2,3478,2022-11-29,3,4,1,2022-10-05,Technical Skills,External,Incomplete,Port Matthew,Daniel Solomon,1,526.74,False,60.0
Sarai,Stone,2022-08-02,2023-04-02,Area Sales Manager,Madison Wilson,sarai.stone@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,N/A - Active,N/A - Active,Sales,Project Management - Con,1962-05-17,TX,Technician,Female,96336,Hispanic,Widowed,Fully Meets,2,3479,2022-03-11,4,4,4,2023-01-18,Communication Skills,Internal,Passed,Stephanieburgh,Michael Dixon,3,443.45,False,60.0
Jerimiah,Harmon,2022-09-08,2022-10-16,Area Sales Manager,Eric King,jerimiah.harmon@bilearner.com,PL,Future Start,Full-Time,Zone C,Temporary,Retirement,Retirement - Standard Separation,Sales,Catv,1946-09-08,TX,Supervisor,Female,75671,Black,Widowed,Fully Meets,1,3480,2023-07-25,1,5,3,2023-03-02,Leadership Development,External,Failed,North Amyfurt,Robert Hill,1,887.15,False,76.0
Leland,Allen,2019-03-07,2021-05-31,Area Sales Manager,Brandon Harris,leland.allen@bilearner.com,BPC,Future Start,Full-Time,Zone C,Part-Time,Voluntary,Voluntary - Standard Separation,Sales,Wireline Construction,1965-11-12,TX,Splicer,Male,61149,Other,Widowed,Fully Meets,4,3481,2023-02-03,5,2,4,2023-05-29,Technical Skills,External,Incomplete,East Charleston,Glenda Ryan,5,758.95,False,53.0
Cristal,Bolton,2019-10-29,2021-02-07,Area Sales Manager,Matthew Flores,cristal.bolton@bilearner.com,CCDR,Future Start,Full-Time,Zone A,Temporary,Resignation,Resignation - Standard Separation,Sales,Catv,1990-11-02,TX,Lineman,Male,57302,Asian,Divorced,Needs Improvement,2,3482,2022-10-22,4,5,5,2023-03-03,Technical Skills,Internal,Failed,Saraland,Jennifer Brown,1,627.11,False,28.0
Jaslene,Harding,2021-09-26,,Area Sales Manager,Krystal Hamilton,jaslene.harding@bilearner.com,SVG,Active,Part-Time,Zone B,Temporary,N/A - Active,N/A - Active,Sales,Project Management - Con,1964-06-19,CO,Coordinator,Male,42605,Asian,Widowed,Fully Meets,1,3483,2022-10-23,1,4,5,2022-08-10,Project Management,External,Passed,Manuelfort,Cody Adams,4,111.96,True,57.0
Albert,Gonzalez,2018-08-29,,Area Sales Manager,Amber Hernandez,albert.gonzalez@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,N/A - Active,N/A - Active,Sales,General - Con,1995-07-18,CO,Model Assistant,Male,64036,Other,Single,Fully Meets,4,3484,2022-09-16,1,2,4,2023-06-27,Project Management,External,Passed,Johnsonport,Justin Barton,1,795.7,True,23.0
Jaiden,Johnson,2021-10-26,,Area Sales Manager,Patricia Smith,jaiden.johnson@bilearner.com,MSC,Active,Contract,Zone C,Full-Time,N/A - Active,N/A - Active,Sales,Field Operations,1994-08-22,CO,Laborer,Male,23173,White,Widowed,Fully Meets,5,3485,2023-07-05,2,1,3,2022-08-07,Customer Service,Internal,Passed,Port Bradley,Michael Chase,2,796.45,True,27.0
Brendon,Mcconnell,2022-10-31,2023-06-08,Area Sales Manager,Victoria Krause,brendon.mcconnell@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,N/A - Active,N/A - Active,Sales,Fielders,1990-11-14,IN,Engineer,Male,19665,Other,Widowed,Fully Meets,4,3486,2022-08-27,3,1,1,2023-07-23,Project Management,Internal,Completed,Lake Angelafort,Daniel Jones,5,812.59,False,31.0
Kimora,Parsons,2023-03-15,,Area Sales Manager,Jesse Hunt,kimora.parsons@bilearner.com,BPC,Active,Contract,Zone B,Part-Time,N/A - Active,N/A - Active,Sales,General - Sga,1994-01-02,KY,Administrator,Female,41161,Other,Divorced,Fully Meets,4,3487,2022-09-23,5,4,1,2023-07-17,Project Management,External,Completed,Lake Lindsayton,Duane Trevino,5,132.97,True,29.0
Willie,Patterson,2022-09-09,,Area Sales Manager,Shane Jones,willie.patterson@bilearner.com,CCDR,Active,Contract,Zone B,Full-Time,N/A - Active,N/A - Active,Sales,Wireline Construction,1997-12-11,KY,Lineman,Female,52499,Asian,Single,Fully Meets,2,3488,2023-11-03,1,5,1,2022-09-20,Communication Skills,Internal,Completed,West Cynthia,Terrence Hopkins,1,308.19,True,24.0
Devyn,Powers,2022-03-04,,Area Sales Manager,Jessica Murphy,devyn.powers@bilearner.com,EW,Active,Part-Time,Zone A,Temporary,N/A - Active,N/A - Active,Sales,Field Operations,1953-02-05,TX,Laborer,Female,25634,Black,Divorced,Fully Meets,2,3489,2022-03-12,2,4,5,2023-07-02,Project Management,Internal,Passed,Isabelchester,Brittany Savage,1,131.41,True,69.0
Weston,Preston,2019-02-11,,Area Sales Manager,Crystal Wallace,weston.preston@bilearner.com,MSC,Active,Part-Time,Zone A,Part-Time,N/A - Active,N/A - Active,Sales,General - Sga,1991-10-07,TX,Director,Female,37965,Hispanic,Divorced,Fully Meets,2,3490,2022-12-10,5,3,2,2023-07-19,Technical Skills,Internal,Failed,Lake Robertberg,Samantha Williams,3,389.59,True,27.0
Lennon,Buchanan,2021-01-26,,Area Sales Manager,Tina Nelson,lennon.buchanan@bilearner.com,NEL,Active,Contract,Zone B,Full-Time,N/A - Active,N/A - Active,Sales,Field Operations,1973-02-06,TX,Driver,Male,39504,White,Widowed,Fully Meets,5,3491,2022-10-09,3,4,5,2023-07-14,Project Management,Internal,Incomplete,Petersville,Stephen Blair,3,442.56,True,47.0
Vicente,Merritt,2019-11-26,,Area Sales Manager,Ashley Smith,vicente.merritt@bilearner.com,PL,Active,Full-Time,Zone C,Full-Time,N/A - Active,N/A - Active,Sales,General - Con,1993-08-01,CO,Clerk,Male,31676,Asian,Married,Fully Meets,1,3492,2023-01-13,1,5,5,2022-09-06,Project Management,Internal,Incomplete,Christinahaven,Amanda Greene,3,327.66,True,26.0
